prolificID,conditionName,taskName,meridian,repeat,threshold,numTrialsSent,questSD,readingCQAccuracy
5f0788c06b220f03231666a0,crowding_R8_block1,crowding,R8,1,0.13365843799999996,36.0,0.065507517,
5f0788c06b220f03231666a0,crowding_L8_block1,crowding,L8,1,0.210779897,36.0,0.050215867,
5f0788c06b220f03231666a0,crowding_R8_block2,crowding,R8,2,-0.16787690700000002,36.0,0.051140758,
5f0788c06b220f03231666a0,crowding_L8_block2,crowding,L8,2,0.36363974100000007,37.0,0.058715724,
5f0788c06b220f03231666a0,acuity_R8_block1,acuity,R8,1,-0.433109351,36.0,0.048382129,
5f0788c06b220f03231666a0,acuity_L8_block1,acuity,L8,1,-0.439261528,35.0,0.049844932,
64837ba51422d817b62cc5cc,crowding_R8_block1,crowding,R8,1,0.470542347,38.0,0.047698262,
64837ba51422d817b62cc5cc,crowding_L8_block1,crowding,L8,1,0.14896017800000003,36.0,0.065209033,
64837ba51422d817b62cc5cc,crowding_R8_block2,crowding,R8,2,0.325551413,15.0,0.101424246,
64837ba51422d817b62cc5cc,crowding_L8_block2,crowding,L8,2,0.37607153299999996,17.0,0.082947674,
64837ba51422d817b62cc5cc,acuity_R8_block1,acuity,R8,1,-0.489738884,20.0,0.075875725,
64837ba51422d817b62cc5cc,acuity_L8_block1,acuity,L8,1,-0.492168479,16.0,0.088471469,
6778842e3f7e2e62756f7178,crowding_R8_block1,crowding,R8,1,0.494105601,36.0,0.066182313,
6778842e3f7e2e62756f7178,crowding_L8_block1,crowding,L8,1,0.472339508,36.0,0.048984734,
6778842e3f7e2e62756f7178,crowding_R8_block2,crowding,R8,2,0.16023726100000002,37.0,0.057678266,
6778842e3f7e2e62756f7178,crowding_L8_block2,crowding,L8,2,0.38060873600000006,36.0,0.048653935,
6778842e3f7e2e62756f7178,acuity_R8_block1,acuity,R8,1,-0.2817177169999999,35.0,0.049994148,
6778842e3f7e2e62756f7178,acuity_L8_block1,acuity,L8,1,-0.378579946,36.0,0.047824222,
5e57d38b533eec1818078f0b,crowding_R8_block1,crowding,R8,1,0.525503226,36.0,0.048975336,
5e57d38b533eec1818078f0b,crowding_L8_block1,crowding,L8,1,0.558794253,36.0,0.047106764,
5e57d38b533eec1818078f0b,crowding_R8_block2,crowding,R8,2,0.49254311999999995,36.0,0.047961417,
5e57d38b533eec1818078f0b,crowding_L8_block2,crowding,L8,2,0.278812629,37.0,0.058265543,
5e57d38b533eec1818078f0b,acuity_R8_block1,acuity,R8,1,-0.527726548,36.0,0.04981686,
5e57d38b533eec1818078f0b,acuity_L8_block1,acuity,L8,1,-0.45494034799999994,36.0,0.048931626,
6501b789e3ddbc0a0b79b925,crowding_R8_block1,crowding,R8,1,0.387338751,36.0,0.048397104,
6501b789e3ddbc0a0b79b925,crowding_L8_block1,crowding,L8,1,0.532202673,37.0,0.050371839,
6501b789e3ddbc0a0b79b925,crowding_R8_block2,crowding,R8,2,0.10150962800000003,36.0,0.048196898,
6501b789e3ddbc0a0b79b925,crowding_L8_block2,crowding,L8,2,0.131227944,37.0,0.048193603,
6501b789e3ddbc0a0b79b925,acuity_R8_block1,acuity,R8,1,-0.458442488,36.0,0.053157622,
6501b789e3ddbc0a0b79b925,acuity_L8_block1,acuity,L8,1,-0.540186491,36.0,0.055119147,
5cb206ee3d6647001724d5af,crowding_R8_block1,crowding,R8,1,0.30385430500000005,36.0,0.050127295,
5cb206ee3d6647001724d5af,crowding_L8_block1,crowding,L8,1,0.388029234,36.0,0.051913173,
5cb206ee3d6647001724d5af,crowding_R8_block2,crowding,R8,2,-0.009897592999999988,36.0,0.051678581,
5cb206ee3d6647001724d5af,crowding_L8_block2,crowding,L8,2,0.08794954199999996,36.0,0.04753266,
5cb206ee3d6647001724d5af,acuity_R8_block1,acuity,R8,1,-0.526390699,36.0,0.049153297,
5cb206ee3d6647001724d5af,acuity_L8_block1,acuity,L8,1,-0.347381511,36.0,0.069513425,
63174af7d57182f9bf90c094,crowding_R8_block1,crowding,R8,1,0.55275911,36.0,0.057636084,
63174af7d57182f9bf90c094,crowding_L8_block1,crowding,L8,1,0.717245396,36.0,0.051254849,
63174af7d57182f9bf90c094,crowding_R8_block2,crowding,R8,2,0.213202737,36.0,0.049135581,
